Date,Open,High,Low,Close,Adj Close,Volume
2018-11-30,74.180000,75.480003,73.900002,75.120003,72.526619,7947300
2018-12-03,77.099998,79.000000,76.930000,77.940002,75.249283,10211800
2018-12-04,77.419998,78.400002,75.410004,75.790001,73.173515,8800400
2018-12-06,74.370003,75.570000,73.589996,75.540001,72.932129,9693700
2018-12-07,75.040001,75.970001,72.870003,73.339996,70.808075,6133700
2018-12-10,73.099998,73.709999,70.610001,72.510002,70.006729,7235000
2018-12-11,73.870003,74.570000,72.559998,73.570000,71.030144,7794500
2018-12-12,74.519997,75.279999,73.510002,74.320000,71.754250,6950400
2018-12-13,74.500000,74.589996,72.589996,72.930000,70.412239,7454800
2018-12-14,71.970001,73.650002,71.410004,72.529999,70.026047,7221200
2018-12-17,71.370003,71.769997,69.459999,69.900002,67.486832,10647700
2018-12-18,70.900002,72.410004,70.430000,71.150002,68.693672,7533300
2018-12-19,71.449997,72.000000,68.320000,68.970001,66.588943,8426100
2018-12-20,68.730003,69.570000,66.529999,67.529999,65.198654,14488500
2018-12-21,73.290001,74.290001,71.250000,72.370003,69.871574,28487900
2018-12-24,71.400002,71.930000,68.080002,68.099998,65.748970,8551400
2018-12-26,68.699997,73.010002,68.650002,73.010002,70.489471,10019200
2018-12-27,72.180000,73.730003,70.989998,73.669998,71.126678,9004900
2018-12-28,73.970001,74.459999,72.570000,73.339996,70.808075,6197000
2018-12-31,73.980003,74.459999,73.519997,74.139999,71.580452,5519100
2019-01-02,72.790001,74.639999,72.190002,74.059998,71.503212,6762700
2019-01-03,73.250000,73.320000,71.209999,72.750000,70.238457,8007400
2019-01-04,73.449997,75.120003,73.120003,74.650002,72.072861,7844200
2019-01-07,74.739998,76.360001,74.300003,75.720001,73.105919,8184800
2019-01-08,76.830002,77.400002,76.199997,76.730003,74.081047,8809000
2019-01-09,76.970001,77.150002,76.139999,76.589996,73.945862,8591000
2019-01-10,75.639999,77.339996,75.459999,76.419998,73.781731,11148600
2019-01-11,76.339996,76.889999,75.800003,76.040001,73.414864,10689900
2019-01-14,75.459999,76.809998,75.459999,76.089996,73.463112,5677400
2019-01-15,76.190002,77.980003,76.129997,77.879997,75.191330,6212400
2019-01-16,78.000000,78.849998,77.589996,77.680000,74.998268,5697100
2019-01-17,77.540001,79.400002,77.309998,79.129997,76.398186,7737300
2019-01-18,79.949997,80.970001,79.739998,80.449997,77.672615,10404100
2019-01-22,80.330002,81.309998,80.199997,80.750000,77.962257,8781700
2019-01-23,81.190002,81.400002,80.220001,80.500000,77.720879,5823000
2019-01-24,80.599998,80.870003,79.550003,80.440002,77.662971,4753200
2019-01-25,81.250000,81.330002,80.430000,80.610001,77.827095,4457100
2019-01-28,79.800003,80.510002,79.739998,80.320000,77.547104,5452000
2019-01-29,80.360001,80.830002,79.839996,80.220001,77.450546,4187500
2019-01-30,80.400002,81.290001,80.059998,81.279999,78.473969,5200200
2019-01-31,81.180000,81.949997,80.709999,81.879997,79.053246,8599200
2019-02-01,81.830002,81.900002,81.129997,81.510002,78.696022,5351900
2019-02-04,81.220001,82.000000,80.830002,81.989998,79.159454,4236600
2019-02-05,81.980003,83.190002,81.930000,82.860001,79.999413,6545600
2019-02-06,82.510002,82.709999,81.639999,82.709999,79.854599,3682800
2019-02-07,82.150002,82.849998,81.709999,82.389999,79.545647,4827500
2019-02-08,82.250000,82.720001,81.940002,82.360001,79.516678,3786500
2019-02-11,82.949997,83.830002,82.870003,83.680000,80.791115,6158500
2019-02-12,83.970001,84.839996,83.620003,84.709999,81.785538,6290300
2019-02-13,84.760002,85.589996,84.760002,85.400002,82.451736,5032800
2019-02-14,84.610001,85.139999,83.699997,84.680000,81.756592,5179000
2019-02-15,85.489998,85.779999,85.099998,85.379997,82.432419,6111300
2019-02-19,84.580002,85.050003,84.459999,84.570000,81.650391,5105900
2019-02-20,84.629997,84.949997,84.349998,84.839996,81.911064,6436100
2019-02-21,83.570000,84.150002,83.349998,83.949997,81.051773,8579200
2019-02-22,84.199997,85.019997,84.029999,84.760002,81.833824,4449500
2019-02-25,85.389999,85.730003,84.959999,85.169998,82.229683,6229700
2019-02-26,85.309998,86.080002,85.199997,85.800003,82.837906,6678700
2019-02-27,85.529999,86.220001,85.059998,86.169998,83.195137,4588200
2019-02-28,86.080002,86.400002,85.680000,85.730003,82.770340,4988100
2019-03-01,86.930000,87.989998,86.239998,87.160004,84.367470,6314900
2019-03-04,87.320000,87.989998,85.110001,85.639999,82.896172,7339500
2019-03-05,85.879997,86.250000,85.440002,85.440002,82.702583,4976300
2019-03-06,85.599998,85.989998,85.040001,85.129997,82.402519,3198000
2019-03-07,84.970001,85.410004,84.660004,85.260002,82.528351,4321800
2019-03-08,84.580002,84.879997,84.019997,84.800003,82.083084,4669700
2019-03-11,85.389999,85.940002,85.050003,85.820000,83.070404,3999800
2019-03-12,85.779999,86.080002,85.019997,85.430000,82.692902,4431600
2019-03-13,85.699997,86.660004,85.599998,85.930000,83.176872,5037800
2019-03-14,86.150002,86.879997,85.699997,86.870003,84.086761,5906100
2019-03-15,87.220001,87.610001,85.959999,86.800003,84.019012,11031400
2019-03-18,87.300003,87.839996,87.000000,87.820000,85.006332,7750700
2019-03-19,88.220001,88.589996,87.290001,87.690002,84.880493,6642200
2019-03-20,87.500000,87.580002,86.089996,86.690002,83.912537,5991500
2019-03-21,87.239998,88.120003,86.830002,88.010002,85.190247,10386900
2019-03-22,85.199997,85.900002,82.150002,82.190002,79.556709,21659800
2019-03-25,81.480003,83.220001,80.889999,82.330002,79.692215,15558300
2019-03-26,83.629997,84.089996,82.910004,83.379997,80.708572,9611900
2019-03-27,83.690002,83.800003,82.040001,83.089996,80.427864,6485100
2019-03-28,83.930000,84.720001,83.699997,84.040001,81.347435,6032700
2019-03-29,84.599998,84.849998,83.860001,84.209999,81.511978,6492000
2019-04-01,85.040001,85.320000,84.699997,85.230003,82.499306,6737400
2019-04-02,85.000000,85.260002,84.160004,84.370003,81.666870,4433800
2019-04-03,84.900002,84.989998,84.250000,84.470001,81.763664,4080900
2019-04-04,84.489998,85.379997,84.360001,85.279999,82.547707,3660700
2019-04-05,86.000000,86.160004,85.050003,85.400002,82.663872,7367400
2019-04-08,85.010002,85.290001,84.570000,84.730003,82.015343,4705800
2019-04-09,84.220001,84.599998,83.970001,84.279999,81.579750,3804500
2019-04-10,84.639999,85.010002,84.559998,84.879997,82.160507,3918400
2019-04-11,84.900002,85.050003,84.279999,85.000000,82.276688,3347400
2019-04-12,85.300003,86.489998,85.290001,86.239998,83.476952,6037000
2019-04-15,86.889999,87.239998,86.440002,86.830002,84.048058,5034900
2019-04-16,87.000000,87.949997,87.000000,87.800003,84.986969,4652700
2019-04-17,87.949997,88.970001,87.449997,88.730003,85.887169,5694900
2019-04-18,88.760002,90.000000,88.699997,89.199997,86.342110,7016600
2019-04-22,88.349998,88.639999,87.300003,87.360001,84.561073,5390500
2019-04-23,87.570000,87.669998,87.010002,87.430000,84.628830,7513700
2019-04-24,87.669998,88.820000,87.430000,88.389999,85.558075,8063000
2019-04-25,88.400002,88.540001,87.489998,87.559998,84.754662,7069900
2019-04-26,87.949997,88.940002,87.330002,88.309998,85.480621,6219600
